Time (mins),FC1,FC2,FG,TO,FO,DT,TS1,TS2
0.0,100.00000247,100.00000247,95.000000361,788.000006,200.0,-1.1511625e-14,1262.0,1262.0
1.0,100.00000306,100.00000306,95.000000916,788.000006,200.0,-1.1511625e-14,1262.0,1262.0
2.0,100.00000251,100.00000251,95.000000755,788.000006,200.000002,-6.08493699e-16,1262.0,1262.0
3.0,99.451556805,100.47574719,94.864421325,788.125918,200.000003,-0.307035524,1261.51059,1263.35281
4.0,99.190451617,100.83568473,95.004901992,788.106559,200.000004,-0.550827877,1261.03912,1263.11594
5.0,98.526686811,101.50525492,94.974375513,788.050073,199.975771,-1.03207853,1260.33458,1263.74414
6.0,98.607992215,101.4145839,94.945228571,788.082738,199.992559,-1.11187029,1261.43002,1262.77581
7.0,98.523942692,101.6731008,95.253422288,787.82356,200.005687,-1.29629375,1260.57176,1261.68175
8.0,99.179652211,100.93382091,95.176692956,787.648982,200.011316,-0.938474007,1262.20013,1260.08499
9.0,99.598764216,100.4151637,95.146417241,787.671803,200.073225,-0.607822087,1262.83433,1259.87687
10.0,99.915557325,99.962531632,95.029246801,787.794457,200.086641,-0.265573717,1263.38829,1260.43014
11.0,100.32685164,99.563260535,95.121344736,787.797323,200.062404,0.113744717,1263.29975,1260.38667
12.0,101.25391309,98.624373507,95.132110643,787.729236,200.000965,0.821592094,1264.17614,1259.47844
13.0,101.0579087,98.841254201,95.202400848,787.642222,199.964014,0.910169943,1262.3602,1260.90696
14.0,100.4216295,99.39404736,95.090477392,787.689686,199.935439,0.685526719,1261.1036,1262.87122
15.0,100.07940326,99.738281274,95.116610563,787.748883,199.923347,0.48936988,1260.7891,1263.30298
16.0,100.16335762,99.552371892,94.921856234,787.934909,199.887457,0.518236644,1262.1694,1263.23049
17.0,100.26966495,99.577655693,95.09875819,787.936137,199.864199,0.511429929,1262.00944,1262.55696
18.0,100.26416202,99.651555214,95.151919958,787.791861,199.814709,0.4719037,1261.6624,1262.21762
19.0,99.955491267,99.973058097,95.167046874,787.718341,199.82558,0.2671256,1261.00342,1262.54748
20.0,99.633706376,100.20158288,95.025473432,787.828057,199.855625,0.0523245058,1261.25376,1263.15282
21.0,99.747981806,100.0324463,94.929801893,788.02723,199.879933,0.0641070384,1262.3769,1262.90453
22.0,99.771940414,100.12359406,95.081071707,787.990733,199.865052,0.00421199094,1262.04428,1262.43321
23.0,99.847572596,99.973765716,94.888101596,788.07267,199.836844,0.0438369894,1262.78334,1262.58374
24.0,100.29614587,99.536379172,94.833580041,788.259446,199.856407,0.303091751,1263.7628,1262.06925
