Time (mins),FC1,FC2,FG,TO,FO,DT,TS1,TS2
0.0,100.00000247,100.00000247,95.000000361,788.000006,200.0,-1.1511625e-14,1262.0,1262.0
1.0,100.00000306,100.00000306,95.000000916,788.000006,200.0,-1.1511625e-14,1262.0,1262.0
2.0,100.00000251,100.00000251,95.000000755,788.000006,200.000002,-6.08493699e-16,1262.0,1262.0
3.0,99.64407705,100.33387333,94.95887151,788.038203,200.000003,-0.206790021,1261.51059,1262.75133
4.0,99.847156457,100.30695749,95.274107413,787.779146,200.000004,-0.176642133,1261.03912,1261.27181
5.0,99.698401376,100.45652606,95.351218654,787.458388,199.992653,-0.284527087,1260.37648,1260.98671
6.0,99.74427581,100.17514698,95.110887998,787.551594,200.046473,-0.211653708,1261.61057,1261.30299
7.0,99.200275555,100.64389891,95.130214428,787.688194,200.082624,-0.513348427,1260.95616,1262.56889
8.0,99.059931053,100.54661581,94.764768426,788.040315,200.028224,-0.576169321,1262.65143,1263.54831
9.0,99.804330088,100.05986218,95.166413393,787.96433,199.966874,-0.248205532,1263.07607,1261.25071
10.0,100.21013406,99.684710574,95.126948717,787.756297,199.846765,0.0324325173,1263.17572,1260.73893
11.0,100.20074213,99.651676667,95.030894031,787.830529,199.852574,0.131481909,1262.83326,1261.54121
12.0,100.38233301,99.351975923,94.779157887,788.153711,199.866664,0.34848316,1263.77109,1262.33591
13.0,100.26599611,99.708461915,95.101455073,788.090765,199.861916,0.281528573,1262.08588,1262.30826
14.0,99.801797938,100.22973134,95.116647935,787.878724,199.81938,0.0106056422,1260.80282,1262.83911
15.0,99.547612707,100.50031711,95.163389754,787.776176,199.871073,-0.193402127,1260.48791,1262.60152
16.0,99.216650179,100.55545284,94.71849039,788.136217,199.924558,-0.380796361,1262.01702,1263.83439
17.0,98.855119262,100.95356076,94.740859792,788.459568,199.965682,-0.681493372,1262.08116,1264.36004
18.0,98.256837003,101.59362378,94.641177526,788.617213,199.901155,-1.14302882,1261.81324,1265.16269
19.0,98.234381869,101.93986445,95.01293983,788.373567,199.87033,-1.38338517,1261.02903,1263.32653
20.0,98.978794921,101.47521995,95.398560152,787.749594,199.863707,-1.12945004,1261.0207,1259.85797
21.0,99.471038686,100.80792324,95.202519127,787.557176,199.96722,-0.775647734,1262.06935,1259.18463
22.0,99.319901188,100.73904946,95.041969864,787.764064,200.129485,-0.704406304,1262.08947,1260.66388
23.0,99.431574564,100.3949153,94.789594907,788.120954,200.179311,-0.485121536,1263.29731,1261.80366
